modulo,permissao,descricao,Colaborador Interno/Fisio,Colaborador SAC,Colaborador Treinamento,Colaboradores Internos,Consultor de Vendas Online,Consultora Online Rio de Janeiro,Consultora de Vendas,Expansão,Franqueado,Franqueado/Fisio,Gerente,Gerente de Campo,Gerente de Campo (descontos),Gerente de Campo - Franquias,Gerente/Fisio,Marketing,Profissional,Proprietário,SAC,Subgerente,Terminal,cancelar
Mensagens / Notificações,message.customer_notification_config,Gerenciar Configurações,,,,,,,,,,,,,,,,X,,X,,,,
Mensagens / Notificações,message.audience_manager,Gerenciar audiências,X,X,X,X,,,,,,,,,X,,,X,,X,,,,
Mensagens / Notificações,message.automations_manager,Gerenciar automações,X,X,X,X,,,,,,X,,,,,,X,,X,,,,
Mensagens / Notificações,message.audience_viewer,Visualizar audiências,X,X,X,X,,,,,,X,,,X,,,X,,X,X,,,
Mensagens / Notificações,message.message_viewer,Visualizar mensagens,X,X,X,X,,,,,X,,,,,,X,X,,X,X,,,
Mensagens WhatsApp Web,whatsapp_message.editor,Criar/Editar,,,,,,,,,,,,,,,,,,X,,,,
Mensagens WhatsApp Web,whatsapp_message.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,,,,,X,,X,,,,
Mensagens WhatsApp Web,whatsapp_message.viewer,Visualizar,,,,,,,,X,X,X,,X,X,X,X,X,,X,,,,
Metas,goal.manager,Incluir/Alterar/Inativar,,,,,,,,,,,,X,X,X,,X,,X,X,,,
Minha Conta (Organização),organization.manager,Gerenciar,,,,,,,,,,,,,,,,,,X,,,,
